architecture,task,source_dataset,target_dataset,status,detail,record_count,macro_auroc,auroc_NSR,auroc_AFIB_AFL,auroc_IAVB,auroc_LBBB,auroc_RBBB
ecg_fm,five_label,ptbxl,ptbxl,COMPLETE,,2198,0.9775844244829272,0.931583992331656,0.9786401071037364,0.9815502894247944,0.998289800995025,0.9978579325594252
ecg_fm,five_label,ptbxl,cpsc2018,COMPLETE,,688,0.9194823104349046,0.7800645608403851,0.984779586398656,0.9598665223665224,0.9639809236947792,0.9087199588741808
ecg_fm,five_label,ptbxl,georgia,COMPLETE,,1034,0.938731050646164,0.8421220688508233,0.9379504504504506,0.9742023911302908,0.9875284909474048,0.9518518518518516
ecg_fm,five_label,ptbxl,mimic_iv,COMPLETE,,5000,0.7363508890122368,0.6490359472421502,0.8838483770352635,0.618870323177142,0.7952440290758048,0.7347557685308233
ecg_fm,five_label,ptbxl,code_ii,COMPLETE,,5000,0.9243471022520756,0.693811679452355,0.9642598698232128,0.98313209539308,0.991780967879422,0.9887508987123084
ecg_fm,five_label,cpsc2018,ptbxl,COMPLETE,,2198,0.919600495084404,0.8247657245197826,0.9616523684842888,0.8807265189574733,0.9947052929795468,0.9361525704809288
ecg_fm,five_label,cpsc2018,cpsc2018,COMPLETE,,688,0.9823272481439524,0.9654581266413772,0.9943665643283324,0.9935854076479076,0.9690323795180724,0.9891937625840722
ecg_fm,five_label,cpsc2018,georgia,COMPLETE,,1034,0.9281313420677176,0.8529186762015633,0.9423071509009008,0.936530554085413,0.9912699436631832,0.9176303854875284
ecg_fm,five_label,cpsc2018,mimic_iv,COMPLETE,,5000,0.7626736736127679,0.7202429429025322,0.8203882143095604,0.6927957451002478,0.8511060593303584,0.7288354064211409
ecg_fm,five_label,cpsc2018,code_ii,COMPLETE,,5000,0.9237910348433848,0.7345741572461011,0.959228059184244,0.970373706846449,0.9910399473052036,0.9637393036349254
ecg_fm,five_label,georgia,ptbxl,COMPLETE,,2198,0.9456829986507604,0.8140846965244408,0.9668983294688192,0.9595761076696075,0.994022940851299,0.9938329187396352
ecg_fm,five_label,georgia,cpsc2018,COMPLETE,,688,0.9410855784130892,0.8769331777064487,0.9772562706366216,0.9741387085137084,0.9447163654618476,0.9323833697468192
ecg_fm,five_label,georgia,georgia,COMPLETE,,1034,0.9663832395790728,0.9461100947946116,0.9388020833333334,0.9795491864457382,0.995355438007999,0.9720993953136812
ecg_fm,five_label,georgia,mimic_iv,COMPLETE,,5000,0.7562262785627306,0.6569657261697613,0.8533692614389683,0.6438733151235263,0.8340720159411747,0.7928510741402224
ecg_fm,five_label,georgia,code_ii,COMPLETE,,5000,0.9239055770157322,0.7085658946823695,0.956175863566162,0.9826441357665932,0.9912021969080552,0.9809397941554806
ecg_fm,five_label,mimic_iv,ptbxl,COMPLETE,,2198,0.8988350902168838,0.7046737380234676,0.9634686381410388,0.8412434812217371,0.9910819168048646,0.9937076768933112
ecg_fm,five_label,mimic_iv,cpsc2018,COMPLETE,,688,0.9049556000448788,0.6628428654800117,0.9888851879742804,0.9368348665223664,0.957988202811245,0.9782268774364906
ecg_fm,five_label,mimic_iv,georgia,COMPLETE,,1034,0.8905598839884405,0.6704839514385497,0.9420608108108108,0.8782654127481713,0.991420461875887,0.9705687830687832
ecg_fm,five_label,mimic_iv,mimic_iv,COMPLETE,,5000,0.9836359881109984,0.9859633306549408,0.9922059538912046,0.9844899846061425,0.9763829249810558,0.9791377464216486
ecg_fm,five_label,mimic_iv,code_ii,COMPLETE,,5000,0.8906435212457389,0.6270694721519903,0.953580654690508,0.8885793231043435,0.99409726258282,0.9898908936990324
ecg_fm,five_label,code_ii,ptbxl,COMPLETE,,2198,0.9625823240186604,0.9035482908084974,0.9715903594154232,0.9429035668843078,0.9984323175787728,0.9964370854063018
ecg_fm,five_label,code_ii,cpsc2018,COMPLETE,,688,0.942356446546458,0.906897432156405,0.9823756009963504,0.9753449675324676,0.9646084337349398,0.8825557983121279
ecg_fm,five_label,code_ii,georgia,COMPLETE,,1034,0.9490703556454771,0.881041077665059,0.9299549549549552,0.9735374343524814,0.991893519115813,0.9689247921390778
ecg_fm,five_label,code_ii,mimic_iv,COMPLETE,,5000,0.6918535162810573,0.5936253740480104,0.7024603439559707,0.6228660382405947,0.8080255956891471,0.7322902294715636
ecg_fm,five_label,code_ii,code_ii,COMPLETE,,5000,0.951675543324059,0.8093360162873803,0.974227335539294,0.9875891161997752,0.9962258805067998,0.9909993680870448

