architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
ecg_fm,cpsc2018,mimic_iv,1000,macro_auroc,1000,0.7517945483098217,0.7733208972292156
ecg_fm,cpsc2018,code_ii,1000,auroc_af_afl,1000,0.928744562996645,0.985607118452574
ecg_fm,cpsc2018,code_ii,1000,auroc_av_block_1,1000,0.9521569909878063,0.9819462591150616
ecg_fm,cpsc2018,code_ii,1000,auroc_lbbb,1000,0.98528491349955,0.9953307762116804
ecg_fm,cpsc2018,code_ii,1000,auroc_normal,1000,0.7217336525640976,0.747703793339266
ecg_fm,cpsc2018,code_ii,1000,auroc_rbbb,1000,0.9445727624529091,0.9774652439749423
ecg_fm,cpsc2018,code_ii,1000,macro_auroc,1000,0.9151830762280907,0.9315800564921025
ecg_fm,georgia,ptbxl,1000,auroc_af_afl,1000,0.9423977035083861,0.9857040039648393
ecg_fm,georgia,ptbxl,1000,auroc_av_block_1,1000,0.938786878867257,0.975694195350216
ecg_fm,georgia,ptbxl,1000,auroc_lbbb,1000,0.9906508369692428,0.9968323882896766
ecg_fm,georgia,ptbxl,1000,auroc_normal,1000,0.7965617696319769,0.8319036148819261
ecg_fm,georgia,ptbxl,1000,auroc_rbbb,1000,0.9905966669424855,0.9965338884636541
ecg_fm,georgia,ptbxl,1000,macro_auroc,1000,0.9385909339060563,0.9520497929178624
ecg_fm,georgia,cpsc2018,1000,auroc_af_afl,1000,0.9557507793298453,0.9922950052765053
ecg_fm,georgia,cpsc2018,1000,auroc_av_block_1,1000,0.950015795338462,0.9901362391686955
ecg_fm,georgia,cpsc2018,1000,auroc_lbbb,1000,0.8540572499977913,0.9913741130319405
ecg_fm,georgia,cpsc2018,1000,auroc_normal,1000,0.8488571748466409,0.9028573714704765
ecg_fm,georgia,cpsc2018,1000,auroc_rbbb,1000,0.9077288336576671,0.954953166881744
ecg_fm,georgia,cpsc2018,1000,macro_auroc,1000,0.9199265650583399,0.9560197332286269
ecg_fm,georgia,georgia,1000,auroc_af_afl,1000,0.8936517338715575,0.97470548088967
ecg_fm,georgia,georgia,1000,auroc_av_block_1,1000,0.9671131759983335,0.9893519476430916
ecg_fm,georgia,georgia,1000,auroc_lbbb,1000,0.9903039816086352,0.9986371241595694
ecg_fm,georgia,georgia,1000,auroc_normal,1000,0.9319804023986235,0.959244346838127
ecg_fm,georgia,georgia,1000,auroc_rbbb,1000,0.9480873862092344,0.9887327227292999
ecg_fm,georgia,georgia,1000,macro_auroc,1000,0.9555856964296181,0.9757560107884247
ecg_fm,georgia,mimic_iv,1000,auroc_af_afl,1000,0.8310577891488403,0.8747416186806666
