architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
transformer,cpsc2018,code_ii,1000,auroc_lbbb,1000,0.9503257532695994,0.9945461191887458
transformer,cpsc2018,code_ii,1000,auroc_normal,1000,0.6726502693664693,0.701801605690164
transformer,cpsc2018,code_ii,1000,auroc_rbbb,1000,0.9354682067917544,0.9658638318054458
transformer,cpsc2018,code_ii,1000,macro_auroc,1000,0.822041890692802,0.8517708697214685
transformer,georgia,ptbxl,1000,auroc_af_afl,1000,0.856707610398625,0.9185347298153652
transformer,georgia,ptbxl,1000,auroc_av_block_1,1000,0.7512670491696088,0.8348706585437615
transformer,georgia,ptbxl,1000,auroc_lbbb,1000,0.9881211966708648,0.9958022291700291
transformer,georgia,ptbxl,1000,auroc_normal,1000,0.8340809121128949,0.864740949889162
transformer,georgia,ptbxl,1000,auroc_rbbb,1000,0.993458396117253,0.9978181015331953
transformer,georgia,ptbxl,1000,macro_auroc,1000,0.8943121766527605,0.91552161766748
transformer,georgia,cpsc2018,1000,auroc_af_afl,1000,0.8949169995507514,0.9519945935261431
transformer,georgia,cpsc2018,1000,auroc_av_block_1,1000,0.7684687584753358,0.8596258795923685
transformer,georgia,cpsc2018,1000,auroc_lbbb,1000,0.7933703348899216,0.9777308570793064
transformer,georgia,cpsc2018,1000,auroc_normal,1000,0.8378082561307444,0.9057187028763031
transformer,georgia,cpsc2018,1000,auroc_rbbb,1000,0.8934364705708662,0.9455946609637176
transformer,georgia,cpsc2018,1000,macro_auroc,1000,0.8624425991939879,0.9083975832763842
transformer,georgia,georgia,1000,auroc_af_afl,1000,0.8264474114591215,0.9229273594559578
transformer,georgia,georgia,1000,auroc_av_block_1,1000,0.8048735836736398,0.8843238681603053
transformer,georgia,georgia,1000,auroc_lbbb,1000,0.9926231463416504,0.9987699788221232
transformer,georgia,georgia,1000,auroc_normal,1000,0.853047738421412,0.9009732103968735
transformer,georgia,georgia,1000,auroc_rbbb,1000,0.8904718744626896,0.978894089313342
transformer,georgia,georgia,1000,macro_auroc,1000,0.8892424986270147,0.9231864652827584
transformer,georgia,mimic_iv,1000,auroc_af_afl,1000,0.8927045464571706,0.92017440161123
transformer,georgia,mimic_iv,1000,auroc_av_block_1,1000,0.7334182412253525,0.7751560199563047
transformer,georgia,mimic_iv,1000,auroc_lbbb,1000,0.8488077824422032,0.9092591145385914
transformer,georgia,mimic_iv,1000,auroc_normal,1000,0.7753891867840852,0.8042803230887821
transformer,georgia,mimic_iv,1000,auroc_rbbb,1000,0.8390867522669645,0.8828282181053206
transformer,georgia,mimic_iv,1000,macro_auroc,1000,0.8293972678396936,0.8485850966152615
transformer,georgia,code_ii,1000,auroc_af_afl,1000,0.8057038101881906,0.8901108599789341
transformer,georgia,code_ii,1000,auroc_av_block_1,1000,0.7517435326101264,0.8242305405687496
transformer,georgia,code_ii,1000,auroc_lbbb,1000,0.9241534968837287,0.9809431689580747
transformer,georgia,code_ii,1000,auroc_normal,1000,0.689753901045468,0.718359494333324
transformer,georgia,code_ii,1000,auroc_rbbb,1000,0.9447067480532625,0.9820619466432574
transformer,georgia,code_ii,1000,macro_auroc,1000,0.8380415153056596,0.8660692704201826
transformer,mimic_iv,ptbxl,1000,auroc_af_afl,1000,0.94734745481678,0.9806328465678367
transformer,mimic_iv,ptbxl,1000,auroc_av_block_1,1000,0.5874029108038747,0.7435224974062038
transformer,mimic_iv,ptbxl,1000,auroc_lbbb,1000,0.9935276265046946,0.9980623753216246
transformer,mimic_iv,ptbxl,1000,auroc_normal,1000,0.6746016196253178,0.7170603392798147
transformer,mimic_iv,ptbxl,1000,auroc_rbbb,1000,0.9895935493375835,0.9963641472849831
transformer,mimic_iv,ptbxl,1000,macro_auroc,1000,0.8476000502031402,0.8792415793281755
transformer,mimic_iv,cpsc2018,1000,auroc_af_afl,1000,0.979469238385813,0.9951908872090721
transformer,mimic_iv,cpsc2018,1000,auroc_av_block_1,1000,0.9372157104260735,0.983283462830576
transformer,mimic_iv,cpsc2018,1000,auroc_lbbb,1000,0.8317535768072291,0.9998141135059794
transformer,mimic_iv,cpsc2018,1000,auroc_normal,1000,0.6810765130706123,0.7839242251307172
transformer,mimic_iv,cpsc2018,1000,auroc_rbbb,1000,0.9766956613958513,0.9910230269014653
transformer,mimic_iv,cpsc2018,1000,macro_auroc,1000,0.8962144555200902,0.9392484017473576
transformer,mimic_iv,georgia,1000,auroc_af_afl,1000,0.8443649234185123,0.9431303765269122
transformer,mimic_iv,georgia,1000,auroc_av_block_1,1000,0.8132538588870827,0.9039956875786824
transformer,mimic_iv,georgia,1000,auroc_lbbb,1000,0.987980190319822,0.9977095346915804
transformer,mimic_iv,georgia,1000,auroc_normal,1000,0.6537726913578658,0.7322076942789599
transformer,mimic_iv,georgia,1000,auroc_rbbb,1000,0.924773766215822,0.9896330764441917
transformer,mimic_iv,georgia,1000,macro_auroc,1000,0.8630694977731305,0.8982511070446024
transformer,mimic_iv,mimic_iv,1000,auroc_af_afl,1000,0.9594989637486964,0.9753582222139895
transformer,mimic_iv,mimic_iv,1000,auroc_av_block_1,1000,0.8779745538789335,0.9095085858216188
transformer,mimic_iv,mimic_iv,1000,auroc_lbbb,1000,0.9264778483889284,0.9613125629231583
transformer,mimic_iv,mimic_iv,1000,auroc_normal,1000,0.9532631560598581,0.9669795912696496
transformer,mimic_iv,mimic_iv,1000,auroc_rbbb,1000,0.9689613588742533,0.9807644158123839
transformer,mimic_iv,mimic_iv,1000,macro_auroc,1000,0.9424524212564211,0.9540165760742588
transformer,mimic_iv,code_ii,1000,auroc_af_afl,1000,0.8914037113012158,0.9565279057408276
transformer,mimic_iv,code_ii,1000,auroc_av_block_1,1000,0.7788568365581362,0.87990274247075
transformer,mimic_iv,code_ii,1000,auroc_lbbb,1000,0.9872258762859786,0.9960372490421213
transformer,mimic_iv,code_ii,1000,auroc_normal,1000,0.603113744565561,0.6325352668758749
transformer,mimic_iv,code_ii,1000,auroc_rbbb,1000,0.9813053160445133,0.9954103349597178
transformer,mimic_iv,code_ii,1000,macro_auroc,1000,0.858118112603418,0.8831461172088407
transformer,code_ii,ptbxl,1000,auroc_af_afl,1000,0.9414817397010172,0.97415283648561
transformer,code_ii,ptbxl,1000,auroc_av_block_1,1000,0.7729285074997386,0.8536566794935527
transformer,code_ii,ptbxl,1000,auroc_lbbb,1000,0.9941356038312149,0.9982680334673714
transformer,code_ii,ptbxl,1000,auroc_normal,1000,0.8904838116806303,0.9142316225254961
transformer,code_ii,ptbxl,1000,auroc_rbbb,1000,0.9922676579641821,0.9976556541471809
transformer,code_ii,ptbxl,1000,macro_auroc,1000,0.9246575559030253,0.943252405770276
transformer,code_ii,cpsc2018,1000,auroc_af_afl,1000,0.9277096137794977,0.9720645013666532
transformer,code_ii,cpsc2018,1000,auroc_av_block_1,1000,0.8567882316442161,0.9282201182298135
transformer,code_ii,cpsc2018,1000,auroc_lbbb,1000,0.8798237874561825,0.9969974296536797
transformer,code_ii,cpsc2018,1000,auroc_normal,1000,0.8713473784249197,0.9298364227365077
transformer,code_ii,cpsc2018,1000,auroc_rbbb,1000,0.8952712230431548,0.9470562269693218
transformer,code_ii,cpsc2018,1000,macro_auroc,1000,0.9077617893374098,0.9372513345497758
transformer,code_ii,georgia,1000,auroc_af_afl,1000,0.8380314949721893,0.9391972205865922
transformer,code_ii,georgia,1000,auroc_av_block_1,1000,0.8252954016016375,0.8967454099481464
transformer,code_ii,georgia,1000,auroc_lbbb,1000,0.9927958944798688,0.9988952964158754
transformer,code_ii,georgia,1000,auroc_normal,1000,0.8196516601438771,0.873120262072284
transformer,code_ii,georgia,1000,auroc_rbbb,1000,0.8667688772027802,0.9768161392018759
transformer,code_ii,georgia,1000,macro_auroc,1000,0.8869630131178085,0.9217161597926306
transformer,code_ii,mimic_iv,1000,auroc_af_afl,1000,0.9361086957505932,0.9560328227124734
transformer,code_ii,mimic_iv,1000,auroc_av_block_1,1000,0.7838960417831018,0.8236844264030345
transformer,code_ii,mimic_iv,1000,auroc_lbbb,1000,0.8675197223548797,0.9177391279590836
transformer,code_ii,mimic_iv,1000,auroc_normal,1000,0.7964041597398905,0.8245225381701072
transformer,code_ii,mimic_iv,1000,auroc_rbbb,1000,0.8865141133220416,0.9182315985184305
transformer,code_ii,mimic_iv,1000,macro_auroc,1000,0.8632331583299488,0.879571212000939
transformer,code_ii,code_ii,1000,auroc_af_afl,1000,0.9375353516827375,0.9760748857112241
transformer,code_ii,code_ii,1000,auroc_av_block_1,1000,0.8397347888252882,0.908844106087217
transformer,code_ii,code_ii,1000,auroc_lbbb,1000,0.9907160377314455,0.9959494886768747
transformer,code_ii,code_ii,1000,auroc_normal,1000,0.7699536123450622,0.7956771807749382
transformer,code_ii,code_ii,1000,auroc_rbbb,1000,0.9888903472316906,0.9965314554066298
transformer,code_ii,code_ii,1000,macro_auroc,1000,0.9115411855592545,0.9285115422304447

