architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
inception_time,cpsc2018,code_ii,1000,auroc_av_block_1,1000,0.8228664508620732,0.9169988191194591
inception_time,cpsc2018,code_ii,1000,auroc_lbbb,1000,0.9889442183633711,0.9954847588830018
inception_time,cpsc2018,code_ii,1000,auroc_normal,1000,0.6746572993710304,0.7042291995433553
inception_time,cpsc2018,code_ii,1000,auroc_rbbb,1000,0.9339641922529253,0.970028039920417
inception_time,cpsc2018,code_ii,1000,macro_auroc,1000,0.8736841539723564,0.898292547182944
inception_time,georgia,ptbxl,1000,auroc_af_afl,1000,0.9564884508808585,0.9842544202753569
inception_time,georgia,ptbxl,1000,auroc_av_block_1,1000,0.9464770187210545,0.9711916014289469
inception_time,georgia,ptbxl,1000,auroc_lbbb,1000,0.9946603628187687,0.9983289673478123
inception_time,georgia,ptbxl,1000,auroc_normal,1000,0.8338791813098791,0.8661540697373358
inception_time,georgia,ptbxl,1000,auroc_rbbb,1000,0.9946784361907831,0.9985187628878228
inception_time,georgia,ptbxl,1000,macro_auroc,1000,0.9501695133662912,0.95982391405496
inception_time,georgia,cpsc2018,1000,auroc_af_afl,1000,0.9432328156794072,0.9807061507111674
inception_time,georgia,cpsc2018,1000,auroc_av_block_1,1000,0.9372192806909515,0.983434075586637
inception_time,georgia,cpsc2018,1000,auroc_lbbb,1000,0.8601574010758813,0.999084927053025
inception_time,georgia,cpsc2018,1000,auroc_normal,1000,0.8984837262195225,0.9422546570673128
inception_time,georgia,cpsc2018,1000,auroc_rbbb,1000,0.944821064481233,0.9760216518957582
inception_time,georgia,cpsc2018,1000,macro_auroc,1000,0.9332236628946163,0.9670193144860272
inception_time,georgia,georgia,1000,auroc_af_afl,1000,0.887483072642717,0.9639255073955626
inception_time,georgia,georgia,1000,auroc_av_block_1,1000,0.9378896693855808,0.9771381102981239
inception_time,georgia,georgia,1000,auroc_lbbb,1000,0.995756708992908,0.9995740582593845
inception_time,georgia,georgia,1000,auroc_normal,1000,0.8723133422467322,0.9178255769614452
inception_time,georgia,georgia,1000,auroc_rbbb,1000,0.9340446289410208,0.9907464116145295
inception_time,georgia,georgia,1000,macro_auroc,1000,0.9380392619625612,0.961320910006149
inception_time,georgia,mimic_iv,1000,auroc_af_afl,1000,0.9495201418592524,0.9673156197234579
inception_time,georgia,mimic_iv,1000,auroc_av_block_1,1000,0.8857815684323251,0.9174925464305578
inception_time,georgia,mimic_iv,1000,auroc_lbbb,1000,0.9155047811982939,0.9514357592405128
inception_time,georgia,mimic_iv,1000,auroc_normal,1000,0.8198913720613126,0.8469136568057195
