architecture,task,source_dataset,target_dataset,status,detail,record_count,macro_auroc,auroc_NSR,auroc_AFIB_AFL,auroc_IAVB,auroc_LBBB,auroc_RBBB,is_diagonal,in_distribution_auroc,gap,PS,DS,LS,shift_vector,weight_w_ij
inception_time,five_label,ptbxl,cpsc2018,COMPLETE,,688,0.9313417562489312,0.9200284505398308,0.9637229913688234,0.9471275252525252,0.8910956325301205,0.9347341815533564,False,0.9743695916380845,0.043027835389153224,0,0,1,"(0,0,1)",3
inception_time,five_label,ptbxl,georgia,COMPLETE,,1034,0.9289557432088308,0.8459870281057708,0.9038851351351352,0.9431461954972926,0.9952694276007398,0.9564909297052152,False,0.9743695916380845,0.04541384842925367,0,0,1,"(0,0,1)",3
inception_time,five_label,ptbxl,mimic_iv,COMPLETE,,5000,0.8891108241939667,0.7787335378038374,0.9626455803660852,0.8709368194788616,0.8912385282478741,0.9419996550731752,False,0.9743695916380845,0.08525876744411776,0,0,1,"(0,0,1)",3
inception_time,five_label,ptbxl,code_ii,COMPLETE,,5000,0.93203712823332,0.7590727078176005,0.9756795819116518,0.9590174454647604,0.976983561935759,0.989432344036828,False,0.9743695916380845,0.04233246340476449,0,1,1,"(0,1,1)",5
inception_time,five_label,cpsc2018,ptbxl,COMPLETE,,2198,0.9146747894013044,0.8359781553091933,0.9551113011293952,0.8178834057144222,0.9945627763957988,0.9698383084577116,False,0.978848994567758,0.06417420516645356,0,0,1,"(0,0,1)",3
inception_time,five_label,cpsc2018,georgia,COMPLETE,,1034,0.8990200655101527,0.7802926991518377,0.8811514639639639,0.8975423740314021,0.9937857480755172,0.9423280423280422,False,0.978848994567758,0.0798289290576053,0,0,1,"(0,0,1)",3
inception_time,five_label,cpsc2018,mimic_iv,COMPLETE,,5000,0.9048998878039008,0.8159331164172494,0.9565600587567604,0.9034129308402792,0.9191501782155987,0.9294431547896158,False,0.978848994567758,0.07394910676385713,0,0,1,"(0,0,1)",3
inception_time,five_label,cpsc2018,code_ii,COMPLETE,,5000,0.8862442432147162,0.6900815537426481,0.9216698949822658,0.8727503002828472,0.9925474156302064,0.9541720514356132,False,0.978848994567758,0.0926047513530418,0,1,1,"(0,1,1)",5
inception_time,five_label,georgia,ptbxl,COMPLETE,,2198,0.9550749947912668,0.850282728147952,0.972292525519837,0.9592863841912532,0.9967480306799336,0.9967653054173576,False,0.9498037958701112,-0.005271198921155573,0,0,1,"(0,0,1)",3
inception_time,five_label,georgia,cpsc2018,COMPLETE,,688,0.9529593047457549,0.9227184855558798,0.9644036378381512,0.9633612914862916,0.9526543674698796,0.9616587413785718,False,0.9498037958701112,-0.0031555088756436422,0,0,1,"(0,0,1)",3
inception_time,five_label,georgia,mimic_iv,COMPLETE,,5000,0.9151226549162154,0.8333923201957275,0.9589128091645284,0.901356994349328,0.9341062557884988,0.947844895082994,False,0.9498037958701112,0.03468114095389585,0,0,1,"(0,0,1)",3
inception_time,five_label,georgia,code_ii,COMPLETE,,5000,0.9223935326264746,0.7370172473440126,0.9638296480309918,0.9675391820682708,0.9629937715525592,0.9805878141365384,False,0.9498037958701112,0.0274102632436366,1,1,1,"(1,1,1)",6
inception_time,five_label,mimic_iv,ptbxl,COMPLETE,,2198,0.8995393313215949,0.6576832687998453,0.9692747716399792,0.8808400188768288,0.9952451285240465,0.9946534687672748,False,0.9720844898377262,0.0725451585161313,0,0,1,"(0,0,1)",3
