architecture,in_distribution_mean,in_distribution_sd,in_distribution_sem,cross_dataset_mean,cross_dataset_sd,cross_dataset_sem,gap_mean,gap_sd,gap_sem
inception_time,0.9648898690502079,0.014193273153866814,0.006347424719053805,0.9191568084974332,0.023334680230558794,0.005217793122874992,0.04573306055277483,0.033084045638410296,0.007397817501819085
ecg_fm,0.9723212887282019,0.013391690286475504,0.005988945962836572,0.8875432534291783,0.08059434206966797,0.018021442746964864,0.08477803529902386,0.0814876137148556,0.01822118435906613
transformer,0.9372303030508803,0.022946084808425422,0.010261801089822897,0.8791859465957576,0.029607543728343465,0.006620448042337355,0.05804435645512294,0.04038062668673283,0.009029382624557672
