architecture,metric_scope,n_cells,mean,standard_deviation,standard_error,mean_minus_1.96_sem,mean_plus_1.96_sem
ecg_fm,in_distribution_auroc,5,0.9723212887282019,0.013391690286475504,0.005988945962836572,0.9605829546410423,0.9840596228153615
ecg_fm,cross_dataset_auroc,20,0.8875432534291783,0.08059434206966797,0.018021442746964864,0.8522212256451271,0.9228652812132294
ecg_fm,cross_dataset_gap,20,0.08477803529902386,0.0814876137148556,0.01822118435906613,0.04906451395525425,0.12049155664279348
inception_time,in_distribution_auroc,5,0.9648898690502079,0.014193273153866814,0.006347424719053805,0.9524489166008624,0.9773308214995534
inception_time,cross_dataset_auroc,20,0.9191568084974332,0.023334680230558794,0.005217793122874992,0.9089299339765982,0.9293836830182682
inception_time,cross_dataset_gap,20,0.04573306055277483,0.033084045638410296,0.007397817501819085,0.031233338249209427,0.06023278285634023
transformer,in_distribution_auroc,5,0.9372303030508803,0.022946084808425422,0.010261801089822897,0.9171171729148274,0.9573434331869332
transformer,cross_dataset_auroc,20,0.8791859465957576,0.029607543728343465,0.006620448042337355,0.8662098684327764,0.8921620247587387
transformer,cross_dataset_gap,20,0.05804435645512294,0.04038062668673283,0.009029382624557672,0.0403467665109899,0.07574194639925597
