architecture,class,mean,std,count,sem
ecg_fm,auroc_AFIB_AFL,0.9321245176318242,0.06958080709277309,20,0.015558741458874014
ecg_fm,auroc_IAVB,0.8818152607368261,0.12868371489776656,20,0.028774553410860843
ecg_fm,auroc_LBBB,0.9514108442115784,0.06859901471321106,20,0.015339206008824817
ecg_fm,auroc_NSR,0.7552133727055352,0.1002624202975544,20,0.022419358737398632
ecg_fm,auroc_RBBB,0.9171522718601267,0.09329320616271662,20,0.020860995081873668
inception_time,auroc_AFIB_AFL,0.9534169130957542,0.02673519479319717,20,0.005978171294928731
inception_time,auroc_IAVB,0.9250943864312401,0.04284107569745655,20,0.009579555748872705
inception_time,auroc_LBBB,0.9607906879163488,0.04047514863853247,20,0.009050518375516667
inception_time,auroc_NSR,0.7986329876058246,0.09427448881592485,20,0.02108041655364516
inception_time,auroc_RBBB,0.9578490674379981,0.030338798507003207,20,0.006783961581732829
transformer,auroc_AFIB_AFL,0.9133050329904169,0.04470849954714137,20,0.009997124415942667
transformer,auroc_IAVB,0.799805426809277,0.06917134535540508,20,0.01546718303098001
transformer,auroc_LBBB,0.9463474421101148,0.057984449950419445,20,0.012965717172707218
transformer,auroc_NSR,0.7895394682379113,0.08287572499425533,20,0.018531575477173327
transformer,auroc_RBBB,0.9469323628310674,0.03914295104518714,20,0.008752629937698488
