source_dataset,target_dataset,record_count,macro_auroc,auroc_normal,auroc_af_afl,auroc_av_block_1,auroc_lbbb,auroc_rbbb
ptbxl,mimic_iv,5000,0.7363508890122368,0.6490359472421502,0.8838483770352635,0.618870323177142,0.7952440290758048,0.7347557685308233
cpsc2018,mimic_iv,5000,0.7626736736127679,0.7202429429025322,0.8203882143095604,0.6927957451002478,0.8511060593303584,0.7288354064211409
georgia,mimic_iv,5000,0.7562262785627306,0.6569657261697613,0.8533692614389683,0.6438733151235263,0.8340720159411747,0.7928510741402224
mimic_iv,mimic_iv,5000,0.9836359881109984,0.9859633306549408,0.9922059538912046,0.9844899846061425,0.9763829249810558,0.9791377464216486
code_ii,mimic_iv,5000,0.6918535162810573,0.5936253740480104,0.7024603439559707,0.6228660382405947,0.8080255956891471,0.7322902294715636
