architecture,source_dataset,target_dataset,matched_five_label_source_diagonal_auroc,matched_five_label_external_auroc,matched_five_label_gap,binary_source_diagonal_auroc,binary_external_auroc,binary_gap,absolute_gap_reduction,gap_direction
ecg_fm,code_ii,cpsc2018,0.9889397808887916,0.9440545840413048,0.04488519684748682,0.9898917878704018,0.9454234825656478,0.044468305304753986,0.00041689154273283346,reduced
ecg_fm,code_ii,georgia,0.9889397808887916,0.9610896784647306,0.027850102424061052,0.9898917878704018,0.9734962406015036,0.016395547268898136,0.011454555155162915,reduced
ecg_fm,code_ii,mimic_iv,0.9889397808887916,0.6909366298596453,0.2980031510291463,0.9898917878704018,0.7183675469654348,0.27152424090496696,0.026478910124179356,reduced
ecg_fm,code_ii,ptbxl,0.9889397808887916,0.9832078575571404,0.00573192333165129,0.9898917878704018,0.986700312814588,0.0031914750558137417,0.002540448275837548,reduced
ecg_fm,cpsc2018,code_ii,0.9862587199131102,0.9785230467795069,0.007735673133603349,0.9748304993542832,0.9606914250279308,0.014139074326352419,-0.00640340119274907,increased
ecg_fm,cpsc2018,georgia,0.9862587199131102,0.9624784860027908,0.02378023391031936,0.9748304993542832,0.9106766917293234,0.06415380762495981,-0.040373573714640454,increased
ecg_fm,cpsc2018,mimic_iv,0.9862587199131102,0.7664403261598659,0.2198183937532443,0.9748304993542832,0.6568027128399134,0.3180277865143698,-0.0982093927611255,increased
ecg_fm,cpsc2018,ptbxl,0.9862587199131102,0.9631275088761048,0.02313121103700544,0.9748304993542832,0.9138374850517867,0.060993014302496484,-0.037861803265491045,increased
ecg_fm,georgia,code_ii,0.9748367407365066,0.9679084365150096,0.006928304221497039,0.9806641604010026,0.969614505499011,0.011049654901991612,-0.004121350680494573,increased
ecg_fm,georgia,cpsc2018,0.9748367407365066,0.9476504471123418,0.027186293624164803,0.9806641604010026,0.933544984933276,0.04711917546772659,-0.01993288184356179,increased
ecg_fm,georgia,mimic_iv,0.9748367407365066,0.7569411673002436,0.21789557343626298,0.9806641604010026,0.7092872934652569,0.2713768669357457,-0.05348129349948272,increased
ecg_fm,georgia,ptbxl,0.9748367407365066,0.9830396103832668,-0.008202869646760202,0.9806641604010026,0.975815986649641,0.004848173751361595,-0.013051043398121798,increased
ecg_fm,mimic_iv,code_ii,0.9855014859860416,0.9304451127627592,0.055056373223282384,0.9545016288356454,0.9599809866445272,-0.005479357808881868,0.06053573103216425,reduced
ecg_fm,mimic_iv,cpsc2018,0.9855014859860416,0.9238623844827628,0.06163910150327878,0.9545016288356454,0.9586606758501938,-0.004159047014548389,0.06579814851782717,reduced
ecg_fm,mimic_iv,georgia,0.9855014859860416,0.9292196364564868,0.05628184952955484,0.9545016288356454,0.943032581453634,0.011469047382011377,0.04481280214754346,reduced
ecg_fm,mimic_iv,ptbxl,0.9855014859860416,0.9533091208337192,0.03219236515232238,0.9545016288356454,0.9467117308848666,0.007789897950778779,0.0244024672015436,reduced
ecg_fm,ptbxl,code_ii,0.9911179160490512,0.965418606841544,0.02569930920750718,0.9925613636824292,0.9855586902821768,0.007002673400252402,0.01869663580725478,reduced
ecg_fm,ptbxl,cpsc2018,0.9911179160490512,0.9306406097322756,0.060477306316775614,0.9925613636824292,0.9341368919500644,0.05842447173236476,0.0020528345844108564,reduced
ecg_fm,ptbxl,georgia,0.9911179160490512,0.9545315378807168,0.03658637816833443,0.9925613636824292,0.97796992481203,0.014591438870399154,0.02199493929793528,reduced
ecg_fm,ptbxl,mimic_iv,0.9911179160490512,0.7355914319254975,0.2555264841235537,0.9925613636824292,0.7576926108254923,0.23486875285693687,0.020657731266616852,reduced
inception_time,code_ii,cpsc2018,0.988035139436468,0.9468065796334156,0.0412285598030524,0.988248618841159,0.9611762806715454,0.02707233816961363,0.01415622163343877,reduced
inception_time,code_ii,georgia,0.988035139436468,0.9599633292223212,0.028071810214146842,0.988248618841159,0.979298245614035,0.008950373227123998,0.019121436987022844,reduced
