analysis_type,mapping_variant,architecture,source_dataset,target_dataset,is_diagonal,record_count,macro_auroc,auroc_normal,auroc_af_afl,auroc_av_block_1,auroc_lbbb,auroc_rbbb,auroc_bbb
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,ptbxl,ptbxl,True,2198,0.9775844244829273,0.9315839923316559,0.9786401071037364,0.9815502894247944,0.998289800995025,0.9978579325594251,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,ptbxl,ptbxl,True,2198,0.977519646354666,0.9312601016903496,0.9786401071037364,0.9815502894247944,0.998289800995025,0.9978579325594251,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,ptbxl,ptbxl,True,2198,0.9890845325207451,,0.9786401071037364,0.9815502894247944,0.998289800995025,0.9978579325594251,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,ptbxl,ptbxl,True,2198,0.9718792254269907,0.9315839923316559,0.9786401071037364,0.9815502894247944,,,0.995742512847776
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,ptbxl,cpsc2018,False,688,0.9194823104349046,0.7800645608403851,0.9847795863986559,0.9598665223665224,0.9639809236947791,0.9087199588741807,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,ptbxl,cpsc2018,False,688,0.9194823104349046,0.7800645608403851,0.9847795863986559,0.9598665223665224,0.9639809236947791,0.9087199588741807,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,ptbxl,cpsc2018,False,688,0.9543367478335345,,0.9847795863986559,0.9598665223665224,0.9639809236947791,0.9087199588741807,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,ptbxl,cpsc2018,False,688,0.905540090194776,0.7800645608403851,0.9847795863986559,0.9598665223665224,,,0.8974496911735407
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,ptbxl,georgia,False,1034,0.9387310506461641,0.8421220688508233,0.9379504504504506,0.9742023911302908,0.9875284909474047,0.9518518518518517,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,ptbxl,georgia,False,1034,0.9387310506461641,0.8421220688508233,0.9379504504504506,0.9742023911302908,0.9875284909474047,0.9518518518518517,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,ptbxl,georgia,False,1034,0.9628832960949995,,0.9379504504504506,0.9742023911302908,0.9875284909474047,0.9518518518518517,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,ptbxl,georgia,False,1034,0.9277394315121373,0.8421220688508233,0.9379504504504506,0.9742023911302908,,,0.9566828156169849
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,ptbxl,mimic_iv,False,5000,0.7363508890122368,0.6490359472421502,0.8838483770352635,0.618870323177142,0.7952440290758048,0.7347557685308233,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,ptbxl,mimic_iv,False,5000,0.7375028615142428,0.6547958097521804,0.8838483770352635,0.618870323177142,0.7952440290758048,0.7347557685308233,
