analysis_type,architecture,aggregation,five_label_mean_in_distribution_auroc,five_label_mean_cross_dataset_auroc,five_label_generalization_gap,five_label_binary_eligible_mean_in_distribution_auroc,five_label_binary_eligible_mean_cross_dataset_auroc,five_label_binary_eligible_generalization_gap,binary_mean_in_distribution_auroc,binary_mean_cross_dataset_auroc,binary_generalization_gap,absolute_gap_reduction,percent_gap_reduction,gap_reduction_cell_bootstrap_ci_95_lower,gap_reduction_cell_bootstrap_ci_95_upper,model_rank_by_binary_cross_dataset_auroc
posthoc_label_collapse_no_retraining,ecg_fm,max_abnormal,0.972321288728202,0.8875432534291783,0.08477803529902372,0.9853309287147003,0.9114208109983857,0.07391011771631462,0.9784898880287525,0.9059001380423147,0.07258974998643775,0.012188285312585978,14.37670178318739,-0.014283365365569274,0.03856893807220065,4
posthoc_label_collapse_no_retraining,ecg_fm,noisy_or,0.972321288728202,0.8875432534291783,0.08477803529902372,0.9853309287147003,0.9114208109983857,0.07391011771631462,0.9790530526914967,0.9076266935970372,0.07142635909445949,0.013351676204564233,15.748980449323986,-0.0132390913737067,0.03917994337550542,4
posthoc_label_collapse_no_retraining,ecg_fm,one_minus_normal,0.972321288728202,0.8875432534291783,0.08477803529902372,0.9853309287147003,0.9114208109983857,0.07391011771631462,0.9342732998950017,0.8668220170462059,0.06745128284879587,0.017326752450227856,20.43778484499438,-0.05438102625384722,0.12488729117582416,4
posthoc_label_collapse_no_retraining,inception_time,max_abnormal,0.9648898690502079,0.9191568084974332,0.04573306055277471,0.9801993316433231,0.943203067498772,0.03699626414455104,0.9747456608561569,0.9532237446819705,0.021521916174186417,0.02421114437858829,52.94013583597644,-0.00043693111240845477,0.051209659739093485,2
posthoc_label_collapse_no_retraining,inception_time,noisy_or,0.9648898690502079,0.9191568084974332,0.04573306055277471,0.9801993316433231,0.943203067498772,0.03699626414455104,0.9765248880002027,0.9564762228121857,0.020048665188016956,0.02568439536475775,56.161549335012594,0.0022030399058450504,0.05165628954029143,2
posthoc_label_collapse_no_retraining,inception_time,one_minus_normal,0.9648898690502079,0.9191568084974332,0.04573306055277471,0.9801993316433231,0.943203067498772,0.03699626414455104,0.9373864130298479,0.8944350258795198,0.04295138715032809,0.002781673402446616,6.0824125235105155,-0.0649265880855572,0.09530660378217275,2
posthoc_label_collapse_no_retraining,resnet1d,max_abnormal,0.9658407995749021,0.9238210148793602,0.042019784695541906,0.9807115873448747,0.947923244722636,0.03278834262223873,0.973758212788867,0.9553043857633792,0.018453827025487812,0.023565957670054094,56.08300432951606,-0.0008587210519010175,0.04871943499941269,1
posthoc_label_collapse_no_retraining,resnet1d,noisy_or,0.9658407995749021,0.9238210148793602,0.042019784695541906,0.9807115873448747,0.947923244722636,0.03278834262223873,0.9753223707236488,0.9573829089448243,0.01793946177882455,0.024080322916717356,57.307106857385115,0.0009831162798816578,0.0485038050260727,1
posthoc_label_collapse_no_retraining,resnet1d,one_minus_normal,0.9658407995749021,0.9238210148793602,0.042019784695541906,0.9807115873448747,0.947923244722636,0.03278834262223873,0.9443799894205593,0.8955612199489174,0.04881876947164199,-0.006798984776100081,-16.180436966449808,-0.07205506566286449,0.0833151376195217,1
posthoc_label_collapse_no_retraining,transformer,max_abnormal,0.9372303030508803,0.8791859465957576,0.058044356455122736,0.9530915362102939,0.9010154428554497,0.0520760933548442,0.947135505168941,0.9079862472452433,0.03914925792369761,0.018895098531425125,32.552860752335086,-0.018346886948855147,0.06000605384505663,3
posthoc_label_collapse_no_retraining,transformer,noisy_or,0.9372303030508803,0.8791859465957576,0.058044356455122736,0.9530915362102939,0.9010154428554497,0.0520760933548442,0.9497276408948092,0.913508107898091,0.03621953299671821,0.02182482345840453,37.60025055196967,-0.014253088859043292,0.06297651887891875,3
posthoc_label_collapse_no_retraining,transformer,one_minus_normal,0.9372303030508803,0.8791859465957576,0.058044356455122736,0.9530915362102939,0.9010154428554497,0.0520760933548442,0.9257401203464951,0.8716717849365084,0.05406833540998668,0.003976021045136058,6.849970071095778,-0.05995604392029188,0.0878052695614188,3
