analysis_type,architecture,source_dataset,target_dataset,aggregation,record_count_original,record_count_scored,excluded_all_zero_count,abnormal_prevalence,binary_auroc,five_label_macro_auroc_all_records,five_label_macro_auroc_binary_eligible_records
posthoc_label_collapse_no_retraining,ecg_fm,georgia,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9776469316469721,0.9456829986507603,0.9830396103832669
posthoc_label_collapse_no_retraining,ecg_fm,georgia,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9705123267865226,0.9456829986507603,0.9830396103832669
posthoc_label_collapse_no_retraining,ecg_fm,georgia,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9335449849332759,0.9410855784130892,0.9476504471123418
posthoc_label_collapse_no_retraining,ecg_fm,georgia,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9353207059836418,0.9410855784130892,0.9476504471123418
posthoc_label_collapse_no_retraining,ecg_fm,georgia,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.9263210288420146,0.9410855784130892,0.9476504471123418
posthoc_label_collapse_no_retraining,ecg_fm,georgia,georgia,max_abnormal,1034,403,631,0.56575682382134,0.9806641604010026,0.9663832395790728,0.9748367407365066
posthoc_label_collapse_no_retraining,ecg_fm,georgia,georgia,noisy_or,1034,403,631,0.56575682382134,0.9820551378446115,0.9663832395790728,0.9748367407365066
posthoc_label_collapse_no_retraining,ecg_fm,georgia,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9841729323308269,0.9663832395790728,0.9748367407365066
posthoc_label_collapse_no_retraining,ecg_fm,georgia,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.7092872934652569,0.7562262785627306,0.7569411673002436
posthoc_label_collapse_no_retraining,ecg_fm,georgia,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.712737858505513,0.7562262785627306,0.7569411673002436
posthoc_label_collapse_no_retraining,ecg_fm,georgia,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.6889775721861157,0.7562262785627306,0.7569411673002436
posthoc_label_collapse_no_retraining,ecg_fm,georgia,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.969614505499011,0.9239055770157322,0.9679084365150095
posthoc_label_collapse_no_retraining,ecg_fm,georgia,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9716247450365405,0.9239055770157322,0.9679084365150095
posthoc_label_collapse_no_retraining,ecg_fm,georgia,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.9092797730697089,0.9239055770157322,0.9679084365150095
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9467117308848666,0.8988350902168838,0.9533091208337193
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.948490314909027,0.8988350902168838,0.9533091208337193
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9307044746674232,0.8988350902168838,0.9533091208337193
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9586606758501938,0.9049556000448788,0.9238623844827629
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9586203185535945,0.9049556000448788,0.9238623844827629
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.7421572320275506,0.9049556000448788,0.9238623844827629
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,georgia,max_abnormal,1034,403,631,0.56575682382134,0.943032581453634,0.8905598839884405,0.9292196364564868
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,georgia,noisy_or,1034,403,631,0.56575682382134,0.945062656641604,0.8905598839884405,0.9292196364564868
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.8307769423558896,0.8905598839884405,0.9292196364564868
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.9545016288356454,0.9836359881109985,0.9855014859860415
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.9554521534581433,0.9836359881109985,0.9855014859860415
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.7370780386070425,0.9836359881109985,0.9855014859860415
posthoc_label_collapse_no_retraining,ecg_fm,mimic_iv,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.9599809866445271,0.8906435212457389,0.9304451127627592
